generation,cycles_executed,episodes_created,discoveries_made,theories_formed,duration_ms,cumulative_episodes,cumulative_discoveries
1,1000,1000,649,50,24,1000,649
2,1000,1000,601,47,20,2000,1250
3,1000,1000,611,40,26,3000,1861
4,1000,1000,623,49,76,4000,2484
5,1000,1000,623,54,69,5000,3107
6,1000,1000,602,39,68,6000,3709
7,1000,1000,599,46,88,7000,4308
8,1000,1000,646,56,101,8000,4954
9,1000,1000,590,41,88,9000,5544
10,1000,1000,590,53,96,10000,6134
