generation,discoveries_per_day,total_discoveries,velocity_trend
1,21.63,649,stable
2,41.67,1250,stable
3,62.03,1861,stable
4,82.8,2484,stable
5,103.57,3107,stable
6,123.63,3709,increasing
7,143.6,4308,increasing
8,165.13,4954,increasing
9,184.8,5544,increasing
10,204.47,6134,increasing
